EventNumber,mBB,dRBB,dPhiVBB,dPhiLBmin,Mtop,dYWH,pTV,pTB1,pTB2,mTW,MET
2883271,66.6025772095,1.02209806442,3.08680844307,1.9222137928,141755.390625,0.0918683484197,181365.5625,168.820266724,21.3640213013,95614.84375,47.636680603
446374,59.8909912109,0.569655656815,3.10878968239,2.58064079285,293488.96875,1.89328789711,297648.375,267.651184082,24.2819633484,65721.296875,140.448257446
23069312,155.661941528,1.90539884567,3.0847890377,1.62419903278,166872.578125,1.69868195057,155722.203125,157.736373901,52.3938140869,3284.79345703,120.766540527
840833,175.0,3.11233353615,2.91600513458,0.106640338898,119379.0,0.418176233768,163388.96875,302.963989258,144.332122803,44839.4609375,79.6659927368
271717,138.234741211,1.12452101707,3.12802195549,2.44426107407,337274.15625,0.699795126915,229686.546875,138.139938354,110.645965576,41660.2734375,63.8016433716
578076,155.572540283,2.12631654739,3.10052108765,0.958115100861,127101.203125,0.452065289021,205847.15625,224.102050781,31.0000629425,54804.2148438,58.8146438599
406301,79.8724899292,1.31182742119,3.12967658043,2.45012331009,149957.9375,0.200624749064,173276.625,137.764480591,20.9720859528,84205.5703125,120.672607422
412751,128.320983887,0.96158605814,3.12025237083,2.73155593872,412332.5,1.10970163345,276315.21875,183.659667969,85.4535598755,102809.5,150.506072998
1634599,149.262649536,1.30852234364,3.13081526756,2.11509585381,266513.875,0.845020890236,231674.484375,186.5052948,76.9644317627,21861.1308594,77.6622848511
909521,105.43560791,0.750789225101,3.13089895248,2.46864318848,263873.53125,0.235337227583,325390.25,282.097381592,49.3961906433,27852.0253906,157.680236816
968060,117.57850647,1.52266454697,3.10867404938,2.49617600441,214308.796875,0.0249511245638,162743.609375,101.52167511,51.1898498535,1836.67578125,96.2121047974
1356314,101.144264221,0.563245415688,3.0578660965,2.52032470703,321738.71875,0.349405795336,410371.03125,350.0,60.3670768738,29579.3730469,207.339797974
